iter	Passed	Remaining
0	8	8112
1	19	9660
2	58	19505
3	88	22111
4	103	20542
5	113	18876
6	127	18051
7	144	17857
8	162	17864
9	178	17717
10	191	17238
11	203	16736
12	219	16640
13	231	16277
14	240	15774
15	252	15501
16	269	15574
17	280	15294
18	297	15385
19	311	15284
20	321	14968
21	335	14930
22	348	14801
23	362	14759
24	382	14932
25	396	14841
26	409	14767
27	420	14612
28	437	14646
29	454	14699
30	468	14648
31	481	14550
32	499	14627
33	519	14748
34	536	14798
35	549	14703
36	561	14625
37	573	14517
38	580	14307
39	597	14337
40	612	14336
41	624	14244
42	634	14121
43	648	14088
44	668	14193
45	694	14401
46	716	14523
47	742	14732
48	755	14661
49	776	14761
50	791	14729
51	811	14785
52	833	14887
53	855	14985
54	876	15055
55	895	15088
56	913	15116
57	943	15321
58	961	15327
59	981	15372
60	1003	15450
61	1024	15496
62	1044	15532
63	1059	15494
64	1079	15524
65	1095	15509
66	1118	15575
67	1140	15625
68	1159	15640
69	1180	15684
70	1202	15731
71	1224	15776
72	1244	15804
73	1260	15773
74	1270	15669
75	1279	15559
76	1288	15440
77	1309	15474
78	1319	15388
79	1341	15431
80	1357	15396
81	1370	15346
82	1392	15386
83	1411	15392
84	1433	15433
85	1455	15469
86	1476	15492
87	1498	15530
88	1505	15408
89	1525	15429
90	1536	15352
91	1558	15377
92	1580	15416
93	1600	15427
94	1622	15452
95	1642	15467
96	1654	15402
97	1674	15414
98	1695	15429
99	1707	15363
100	1730	15401
101	1750	15408
102	1765	15375
103	1779	15332
104	1799	15339
105	1809	15263
106	1830	15281
107	1850	15280
108	1856	15173
109	1878	15199
110	1881	15072
111	1896	15036
112	1916	15045
113	1922	14943
114	1945	14975
115	1952	14877
116	1972	14889
117	1988	14862
118	2005	14850
119	2024	14847
120	2045	14861
121	2062	14844
122	2083	14853
123	2103	14857
124	2126	14884
125	2135	14816
126	2145	14746
127	2157	14696
128	2178	14709
129	2197	14709
130	2219	14721
131	2241	14736
132	2244	14630
133	2262	14624
134	2284	14638
135	2310	14675
136	2330	14680
137	2347	14661
138	2372	14698
139	2381	14632
140	2400	14623
141	2405	14534
142	2425	14533
143	2440	14505
144	2443	14410
145	2464	14413
146	2475	14365
147	2496	14371
148	2504	14304
149	2524	14307
150	2538	14275
151	2542	14183
152	2563	14191
153	2575	14147
154	2596	14156
155	2621	14185
156	2642	14188
157	2660	14177
158	2663	14089
159	2686	14101
160	2699	14070
161	2719	14065
162	2735	14048
163	2757	14058
164	2777	14057
165	2799	14065
166	2806	13996
167	2827	14000
168	2849	14009
169	2869	14009
170	2884	13984
171	2904	13984
172	2916	13941
173	2936	13941
174	2956	13939
175	2977	13940
176	2999	13946
177	3009	13896
178	3020	13853
179	3040	13849
180	3060	13848
181	3083	13858
182	3092	13807
183	3109	13789
184	3121	13752
185	3142	13751
186	3165	13761
187	3185	13760
188	3205	13754
189	3227	13759
190	3249	13762
191	3270	13763
192	3291	13762
193	3310	13755
194	3331	13753
195	3352	13751
196	3372	13747
197	3395	13752
198	3415	13748
199	3422	13688
200	3444	13691
201	3464	13685
202	3484	13681
203	3505	13677
204	3529	13688
205	3550	13684
206	3570	13677
207	3593	13683
208	3613	13674
209	3632	13665
210	3654	13666
211	3678	13673
212	3697	13663
213	3718	13657
214	3744	13673
215	3764	13665
216	3784	13657
217	3806	13654
218	3827	13649
219	3848	13644
220	3867	13634
221	3891	13639
222	3914	13637
223	3934	13630
224	3958	13633
225	3978	13624
226	3999	13618
227	4023	13624
228	4046	13624
229	4067	13616
230	4089	13612
231	4103	13583
232	4125	13580
233	4145	13570
234	4167	13565
235	4187	13556
236	4207	13546
237	4227	13536
238	4236	13490
239	4256	13478
240	4276	13469
241	4298	13464
242	4320	13459
243	4341	13450
244	4362	13443
245	4387	13448
246	4406	13434
247	4427	13426
248	4448	13418
249	4469	13409
250	4489	13397
251	4510	13386
252	4533	13385
253	4553	13372
254	4571	13357
255	4593	13348
256	4615	13342
257	4635	13332
258	4657	13324
259	4682	13326
260	4702	13314
261	4723	13304
262	4746	13301
263	4768	13292
264	4787	13278
265	4808	13268
266	4831	13264
267	4852	13253
268	4873	13242
269	4895	13235
270	4915	13223
271	4935	13209
272	4956	13199
273	4977	13189
274	4998	13177
275	5018	13165
276	5039	13153
277	5064	13152
278	5085	13140
279	5105	13129
280	5128	13123
281	5137	13081
282	5160	13073
283	5181	13062
284	5200	13047
285	5221	13036
286	5230	12993
287	5251	12982
288	5270	12967
289	5293	12960
290	5315	12950
291	5334	12935
292	5357	12927
293	5375	12907
294	5395	12893
295	5415	12880
296	5436	12868
297	5460	12863
298	5480	12849
299	5501	12837
300	5524	12829
301	5545	12816
302	5566	12803
303	5589	12796
304	5609	12783
305	5629	12768
306	5650	12755
307	5673	12747
308	5694	12734
309	5714	12719
310	5738	12713
311	5760	12702
312	5780	12688
313	5803	12679
314	5826	12670
315	5833	12625
316	5855	12615
317	5875	12601
318	5896	12587
319	5918	12577
320	5938	12562
321	5957	12544
322	5977	12528
323	5997	12514
